Lines,Lines_k,Lines_i,Lines_cable
feeder2_line38,feeder2_368,feeder2_451,35_sac_xc
feeder2_line39,feeder2_368,feeder2_383,3c_185_sac_xc
feeder2_line40,feeder2_377,feeder2_385,3c_300_sac_xc
feeder2_line41,feeder2_377,feeder2_621,35_sac_xc
feeder2_line42,feeder2_383,feeder2_611,35_sac_xc
feeder2_line43,feeder2_383,feeder2_405,3c_185_sac_xc
feeder2_line44,feeder2_385,feeder2_461,3c_300_sac_xc
feeder2_line45,feeder2_385,feeder2_594,35_sac_xc
feeder2_line46,feeder2_405,feeder2_732,35_sac_xc
feeder2_line47,feeder2_405,feeder2_417,3c_185_sac_xc
feeder2_line48,feeder2_417,feeder2_663,35_sac_xc
feeder2_line49,feeder2_417,feeder2_444,3c_185_sac_xc
feeder2_line50,feeder2_444,feeder2_759,35_sac_xc
feeder2_line51,feeder2_444,feeder2_842,35_sac_xc
feeder2_line52,feeder2_444,feeder2_459,3c_185_sac_xc
feeder2_line53,feeder2_459,feeder2_702,35_sac_xc
feeder2_line54,feeder2_459,feeder2_493,3c_185_sac_xc
feeder2_line55,feeder2_461,feeder2_651,35_sac_xc
feeder2_line56,feeder2_461,feeder2_684,3c_300_sac_xc
feeder2_line57,feeder2_493,feeder2_674,35_sac_xc
feeder2_line58,feeder2_493,feeder2_696,3c_185_sac_xc
feeder2_line59,feeder2_674,feeder2_681,35_sac_xc
feeder2_line60,feeder2_674,feeder2_682,35_sac_xc
feeder2_line61,feeder2_684,feeder2_728,3c_185_sac_xc
